File Name,# of Documents,# of Keywords,Range Bound,Max # of Documents for a Keyword
db_512_80k,80000,512,"[-38.1737, 68.3488]",716
db_1024_80k,80000,1024,"[-43.5736, 69.967]",5679
db_2048_80k,80000,2048,"[-43.5736, 71.0492]",1650
db_4096_40k,40000,4096,"[-45.8672, 405.6469]",1644
db_4096_60k,60000,4096,"[-45.0359, 78.1959]",1201
db_4096_80k,80000,4096,"[-45.925, 69.7021]",1608
db_4096_100k,100000,4096,"[-45.8681, 78.2162]",5679
db_4096_120k,120000,4096,"[-45.9119, 78.2228]",6261
db_8192_80k,80000,8192,"[-45.4015, 71.0252]",567
db_65536_1000k,1000000,65536,"[-65.7182, 405.625]",3644
